epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.926,2.16424,3.46798,1.97113,0.60488,0.16957,0.32579,0.14031,2.16045,3.68251,1.80855,0.000411184,0.000411184,0.000411184
2,230.655,2.06777,2.78545,1.9058,0.84069,0.20128,0.19786,0.05961,2.70899,3.56459,2.35153,0.0008204,0.0008204,0.0008204
3,351.483,2.08861,2.6402,1.93902,0.1666,0.10053,0.06998,0.02052,2.45163,3.83582,2.18461,0.00122212,0.00122212,0.00122212
4,502.777,2.10646,2.52467,1.948,0.29998,0.12807,0.09719,0.02623,2.62861,3.32007,2.33959,0.00121625,0.00121625,0.00121625
5,661.548,2.05599,2.37395,1.92465,0.29692,0.10696,0.09509,0.02456,2.60246,2.89553,2.23176,0.001205,0.001205,0.001205
6,825.022,2.02153,2.28458,1.89299,0.30424,0.10243,0.08428,0.02381,2.58523,2.49744,2.24506,0.00119375,0.00119375,0.00119375
7,976.107,2.00348,2.18589,1.8731,0.31889,0.11731,0.1013,0.03137,2.46696,2.27865,2.14111,0.0011825,0.0011825,0.0011825
8,1138.46,1.9665,2.12649,1.85468,0.3683,0.12282,0.11479,0.04826,2.12645,2.36238,1.88099,0.00117125,0.00117125,0.00117125
9,1332.36,1.94314,2.03211,1.81347,0.42664,0.09216,0.08908,0.03112,2.26744,2.19607,1.97306,0.00116,0.00116,0.00116
10,1535.91,1.96532,2.05113,1.82862,0.57188,0.10201,0.10492,0.03634,2.23265,2.07592,1.98668,0.00114875,0.00114875,0.00114875
11,1741.77,1.94498,1.97622,1.81646,0.44249,0.07635,0.07781,0.02979,2.34399,1.97713,2.06676,0.0011375,0.0011375,0.0011375
12,1932.68,1.93564,1.94803,1.80605,0.36919,0.0861,0.08142,0.0262,2.28593,2.24327,1.97475,0.00112625,0.00112625,0.00112625
13,2113.73,1.8965,1.91449,1.77299,0.54909,0.06994,0.07882,0.02872,2.35138,1.93702,2.04118,0.001115,0.001115,0.001115
